neighborhood,price,city
Lawrenceville,$750,roomi atlanta
Fayetteville,$750,roomi atlanta
Oakland City,$650,roomi atlanta
Fairlie-Poplar,$600,roomi atlanta
Riverview,$900,roomi atlanta
Morrow,$900,roomi atlanta
Morrow,$550,roomi atlanta
Kennesaw,$650,roomi atlanta
Fairburn,$700,roomi atlanta
Atlanta,$600,roomi atlanta
Decatur,$750,roomi atlanta
Mechanicsville,$350,roomi atlanta
Tucker,$480,roomi atlanta
Dacula,$700,roomi atlanta
Smyrna,$500,roomi atlanta
Midtown,$510,roomi atlanta
Scottdale,"$2,000",roomi atlanta
Stone Mountain,$700,roomi atlanta
Atlanta,$700,roomi atlanta
Downtown,$550,roomi atlanta
Toco Hills,$615,roomi atlanta
Milton,$810,roomi atlanta
Berkeley Park,$817,roomi atlanta
South Austin,$700,roomi austin
Central Austin,$700,roomi austin
Southpark Meadows,"$1,040",roomi austin
North Burnetâ€“Gateway,$600,roomi austin
Windermere,"$1,150",roomi austin
Olympic Heights,$600,roomi austin
North Austin,$700,roomi austin
Canyon Creek,$750,roomi austin
Hyde Park,$600,roomi austin
Northwest Washington,$475,roomi baltimore
Lansdowne - Baltimore Highlands,$850,roomi baltimore
Jessup,$850,roomi baltimore
Woodbourne - McCabe,$900,roomi baltimore
Arlington,$400,roomi baltimore
Hyattsville,"$1,000",roomi baltimore
Parkville,$750,roomi baltimore
Landmark,$850,roomi baltimore
North Potomac,$650,roomi baltimore
Hyattsville,$600,roomi baltimore
Waldorf,$900,roomi baltimore
Keniworth Park,$900,roomi baltimore
Montgomery Village,$800,roomi baltimore
Montgomery Village,$700,roomi baltimore
Centreville,$777,roomi baltimore
Springfield,$800,roomi baltimore
North Potomac,$800,roomi baltimore
Alexandria West,$900,roomi baltimore
Locust Point,"$1,000",roomi baltimore
Herndon,$700,roomi baltimore
Woodbridge,$400,roomi baltimore
Downtown Silver Spring,$850,roomi baltimore
Bolton Hill,$800,roomi baltimore
Olney,$600,roomi baltimore
Lake Ridge,$761,roomi baltimore
Elkridge,$775,roomi baltimore
Crystal City,$725,roomi baltimore
Fairfax,$600,roomi baltimore
Silver Spring,$600,roomi baltimore
North Brookline,$650,roomi boston
Banks Square,"$1,140",roomi boston
Beacon Hill,$850,roomi boston
Meeting House Hill,"$1,400",roomi boston
Meeting House Hill,$700,roomi boston
Oak Square,$750,roomi boston
Woburn,"$1,000",roomi boston
Columbus,$924,roomi boston
Dorchester,$788,roomi boston
Dorchester,$700,roomi boston
Dorchester,$800,roomi boston
Allston,"$1,200",roomi boston
Lynn,"$1,100",roomi boston
Ward Two,$850,roomi boston
Fenway/Kenmore,$900,roomi boston
Watertown,"$1,200",roomi boston
Brighton,"$1,400",roomi boston
Central-Maverick Square / Paris Street,$900,roomi boston
Jamaica Plain,"$1,532",roomi boston
Southern Mattapan,"$1,350",roomi boston
Brighton,$800,roomi boston
West Fens,"$1,000",roomi boston
Oak Square,"$1,100",roomi boston
Medford,"$1,500",roomi boston
Melrose,$690,roomi boston
East Boston,"$1,400",roomi boston
South Boston,$850,roomi boston
Brighton,"$1,050",roomi boston
North Brookline,"$1,200",roomi boston
East Boston,"$1,000",roomi boston
North End,$600,roomi boston
Allston,$683,roomi boston
West End,"$1,850",roomi boston
Brighton,$875,roomi boston
Brighton,"$1,600",roomi boston
South Side,$550,roomi chicago
South Chicago,$650,roomi chicago
South Side,$400,roomi chicago
Uptown,$400,roomi chicago
Lake View,$700,roomi chicago
Logan Square,"$1,350",roomi chicago
South Loop,$537,roomi chicago
Lake View East,"$1,451",roomi chicago
Jefferson Park,"$1,250",roomi chicago
Elk Grove Village,"$1,000",roomi chicago
Portage Park,$625,roomi chicago
Palatine,$700,roomi chicago
Chicago Loop,$650,roomi chicago
Lake View,$500,roomi chicago
Ravenswood,"$1,000",roomi chicago
Elk Grove Village,"$1,250",roomi chicago
Arcadia Terrace,$875,roomi chicago
West Town,"$1,050",roomi chicago
Near West Side,$600,roomi chicago
Oak Lawn,$880,roomi dallas
Southwest Carrollton,"$1,000",roomi dallas
Lake Highlands,$600,roomi dallas
Grand Prairie,$875,roomi dallas
Southeast Arlington,$650,roomi dallas
Euless,$675,roomi dallas
Crowley,$500,roomi dallas
Junius Heights,$650,roomi dallas
Lake Highlands,$750,roomi dallas
Valley Ranch,$499,roomi dallas
Hillview,$500,roomi dallas
Bryan Place,$400,roomi dallas
Far North Dallas,"$1,200",roomi dallas
Ash Creek Estates,$830,roomi dallas
Dallas,$575,roomi dallas
McKinney,"$1,000",roomi dallas
Baker,"$1,200",roomi denver
West Colfax,$800,roomi denver
LoDo,"$1,250",roomi denver
Capitol Hill,$900,roomi denver
North Pinery,$800,roomi denver
Southeast,$850,roomi denver
Scenic Heights,$900,roomi denver
Cherry Knolls,$675,roomi denver
Barths,$900,roomi denver
Denver,$850,roomi denver
Cherry Creek,$875,roomi denver
South,"$1,100",roomi denver
South,"$1,000",roomi denver
Congress Park,$950,roomi denver
Cheesman Park,$800,roomi denver
Montrose,$700,roomi houston
Saddle Ridge,"$1,000",roomi houston
Westside,$500,roomi houston
Rosharon,$500,roomi houston
South Central Houston,$850,roomi houston
Southwest Houston,"$1,000",roomi houston
Colony Lake Estates,$625,roomi houston
Bonaire,$850,roomi houston
Fourth Ward,$550,roomi houston
Northwest Park,"$1,100",roomi houston
South Main,$500,roomi houston
Montrose,$500,roomi houston
Southwest Houston,"$1,100",roomi houston
Spring,$450,roomi houston
Northwest Houston,$650,roomi houston
Grogan's Mill,$700,roomi houston
Houston,$600,roomi houston
The Lakes,"$1,000",roomi las vegas
Desert Hills,$712,roomi las vegas
Sunrise Manor,$500,roomi las vegas
Providence,$900,roomi las vegas
Peccole Ranch,$900,roomi las vegas
McCullough Hills,$600,roomi las vegas
Sunrise Manor,$375,roomi las vegas
The Section Seven,$575,roomi las vegas
Enterprise,$650,roomi las vegas
Las Vegas,$500,roomi las vegas
Paradise,$600,roomi las vegas
Las Vegas,$800,roomi las vegas
Las Vegas,$650,roomi las vegas
Newport Coast,$800,roomi los angeles
Westwood,$900,roomi los angeles
Central LA,"$1,400",roomi los angeles
South Coast Metro,"$1,015",roomi los angeles
Central LA,$825,roomi los angeles
Azusa,"$1,000",roomi los angeles
Van Nuys,"$1,100",roomi los angeles
Valencia,$900,roomi los angeles
North Hollywood,$675,roomi los angeles
Central LA,"$1,300",roomi los angeles
La Brea,"$1,000",roomi los angeles
Walnut Valley,$750,roomi los angeles
Northridge,$700,roomi los angeles
Reseda,$825,roomi los angeles
Melrose,"$1,095",roomi los angeles
Mar Vista,"$1,400",roomi los angeles
North Pomona,"$1,250",roomi los angeles
Hollywood,$750,roomi los angeles
Azusa,$900,roomi los angeles
North Pomona,$850,roomi los angeles
Northridge,$750,roomi los angeles
West Los Angeles,$700,roomi los angeles
Burbank,"$1,350",roomi los angeles
Los Cerritos,"$1,300",roomi los angeles
Platinum Triangle,$900,roomi los angeles
Northridge,"$1,260",roomi los angeles
West Los Angeles,"$1,200",roomi los angeles
Central LA,$935,roomi los angeles
Central LA,$995,roomi los angeles
Cypress,"$1,195",roomi los angeles
Central LA,$700,roomi los angeles
Downtown,"$1,500",roomi los angeles
Los Angeles,$750,roomi los angeles
Lancaster,"$1,350",roomi los angeles
Castle Heights,$600,roomi los angeles
Palmdale,$850,roomi los angeles
Pomona,$600,roomi los angeles
Madrona,$850,roomi los angeles
North Hollywood,$800,roomi los angeles
Northridge,"$1,333",roomi los angeles
South Inglewood,"$1,000",roomi los angeles
Rampart Village,$350,roomi los angeles
Fullerton,"$1,150",roomi los angeles
Mid-Wilshire,$900,roomi los angeles
Van Nuys,"$1,200",roomi los angeles
Central LA,$800,roomi los angeles
Riverview West,"$1,000",roomi los angeles
Van Nuys,"$1,000",roomi los angeles
North Redondo,$900,roomi los angeles
South Los Angeles,"$1,250",roomi los angeles
Central LA,$800,roomi los angeles
Central LA,"$1,600",roomi los angeles
Central LA,$742,roomi los angeles
Downtown,$742,roomi los angeles
Northeast Los Angeles,"$1,700",roomi los angeles
Norwalk,"$1,632",roomi los angeles
Santa Fe Springs,"$1,000",roomi los angeles
Westmont,$750,roomi los angeles
South Park,$566,roomi los angeles
Hawthorne,$800,roomi los angeles
Chatsworth,$500,roomi los angeles
Valencia,$750,roomi los angeles
Northeast Los Angeles,$586,roomi los angeles
Downtown,$950,roomi los angeles
Quail Valley,"$1,900",roomi los angeles
Central LA,"$1,450",roomi los angeles
Coyote Canyon,$650,roomi los angeles
Anaheim Resort,"$1,780",roomi los angeles
Central LA,$750,roomi los angeles
Brentwood,"$1,050",roomi los angeles
Woodbridge,"$1,260",roomi los angeles
Irvine,"$1,250",roomi los angeles
Central LA,$950,roomi los angeles
Canyon Country,"$1,300",roomi los angeles
Burbank,$900,roomi los angeles
Playa del Rey,$950,roomi los angeles
Alamitos Beach,$650,roomi los angeles
Central LA,"$1,200",roomi los angeles
Fontana,"$1,200",roomi los angeles
Brentwood,"$1,450",roomi los angeles
Central LA,"$2,000",roomi los angeles
Orange,$700,roomi los angeles
Sherman Oaks,"$1,368",roomi los angeles
Central LA,$750,roomi los angeles
Huntington Beach,$500,roomi los angeles
Menifee,"$1,200",roomi los angeles
Menifee,"$1,000",roomi los angeles
North Hollywood,$700,roomi los angeles
Naples,$975,roomi los angeles
Central LA,$700,roomi los angeles
Aliso Viejo,$700,roomi los angeles
Westwood,$897,roomi los angeles
South Los Angeles,$925,roomi los angeles
University Park,"$1,425",roomi los angeles
North Hollywood,$700,roomi los angeles
South Los Angeles,$965,roomi los angeles
Upper East Side,$650,roomi miami
Allapattah,"$1,500",roomi miami
Leisure City,$750,roomi miami
Wynwood,$700,roomi miami
Davie,"$1,600",roomi miami
Brickell,$950,roomi miami
Hallandale Beach,"$1,300",roomi miami
East Little Havana,"$1,000",roomi miami
Coral Way,$800,roomi miami
Coral Way,$925,roomi miami
Doral,$800,roomi miami
Sunrise,$800,roomi miami
South Beach,$950,roomi miami
Villages of Palm Beach Lakes,$750,roomi miami
Edgewater,$950,roomi miami
Downtown Miami,"$1,325",roomi miami
North Miami,"$1,000",roomi miami
Flamingo / Lummus,$850,roomi miami
North Lauderdale,$900,roomi miami
Downtown Miami,"$1,000",roomi miami
Delray Beach,$500,roomi miami
Villages of Palm Beach Lakes,"$1,300",roomi miami
Doral,$900,roomi miami
Flagler Village,$750,roomi miami
Fort Lauderdale,$950,roomi miami
Edgewater,"$1,250",roomi miami
South Beach,"$1,200",roomi miami
Miami,"$1,100",roomi miami
Pembroke Park,$800,roomi miami
Crown Heights,"$1,100",roomi nyc
Upper Manhattan,"$1,200",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Greenwood,"$1,092",roomi nyc
Hell's Kitchen,"$1,600",roomi nyc
Crown Heights,"$1,800",roomi nyc
Upper Manhattan,"$1,450",roomi nyc
East Flatbush,"$1,800",roomi nyc
StuyTown,$800,roomi nyc
Williamsburg,"$1,700",roomi nyc
Long Island City,"$1,100",roomi nyc
Greenpoint,$845,roomi nyc
West Bronx,"$1,050",roomi nyc
Cypress Hills,$900,roomi nyc
Long Island City,$850,roomi nyc
Midtown,"$1,150",roomi nyc
Crown Heights,"$1,730",roomi nyc
Harlem,$900,roomi nyc
Crown Heights,"$1,287",roomi nyc
Flatbush - Ditmas Park,$975,roomi nyc
Bushwick,"$1,500",roomi nyc
Upper East Side,$875,roomi nyc
Kensington,"$1,275",roomi nyc
Williamsburg,"$1,400",roomi nyc
East Flatbush,"$1,650",roomi nyc
Long Island City,"$1,000",roomi nyc
Upper Manhattan,"$1,400",roomi nyc
Midtown,"$1,100",roomi nyc
Carroll Gardens,"$2,000",roomi nyc
Midtown,"$1,000",roomi nyc
Midtown,"$1,800",roomi nyc
Williamsburg,"$1,200",roomi nyc
Historic Downtown,"$1,400",roomi nyc
Lower Manhattan,"$1,400",roomi nyc
Crown Heights,"$1,100",roomi nyc
Boerum Hill,$900,roomi nyc
Upper Manhattan,"$1,050",roomi nyc
Weehawken,"$1,510",roomi nyc
Upper Manhattan,$825,roomi nyc
New York,"$1,250",roomi nyc
Bushwick,"$1,050",roomi nyc
Upper Manhattan,"$1,050",roomi nyc
East Bronx,$882,roomi nyc
Upper West Side,"$1,050",roomi nyc
Hoboken,$850,roomi nyc
Lower Manhattan,"$1,375",roomi nyc
Yorkville,"$1,100",roomi nyc
Upper East Side,"$1,650",roomi nyc
Midtown West,"$1,250",roomi nyc
Midtown,"$1,050",roomi nyc
Greenpoint,"$2,010",roomi nyc
Midtown,"$1,850",roomi nyc
Harlem,$750,roomi nyc
Upper East Side,"$1,760",roomi nyc
Bushwick,"$1,210",roomi nyc
StuyTown,"$1,600",roomi nyc
Midtown,"$1,000",roomi nyc
Crown Heights,"$1,626",roomi nyc
Midtown,"$1,700",roomi nyc
StuyTown,"$1,400",roomi nyc
Williamsburg,"$1,650",roomi nyc
Lower Manhattan,"$1,450",roomi nyc
Bushwick,"$1,300",roomi nyc
Crown Heights,"$1,600",roomi nyc
New York,$900,roomi nyc
Upper Manhattan,$875,roomi nyc
Upper Manhattan,"$1,642",roomi nyc
Lower Manhattan,$800,roomi nyc
Harlem,"$1,015",roomi nyc
Inwood,"$1,333",roomi nyc
Bushwick,"$2,100",roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Cypress Hills,"$1,000",roomi nyc
Hoboken,"$1,275",roomi nyc
Williamsburg,"$1,100",roomi nyc
Upper West Side,$581,roomi nyc
Prospect Heights,$900,roomi nyc
Gowanus,"$1,800",roomi nyc
Flushing,"$1,021",roomi nyc
Upper Manhattan,"$1,775",roomi nyc
Greenpoint,"$1,450",roomi nyc
Bedford-Stuyvesant,"$1,250",roomi nyc
Crown Heights,"$1,625",roomi nyc
Bedford-Stuyvesant,$770,roomi nyc
Boerum Hill,"$1,200",roomi nyc
Washington Heights,"$1,325",roomi nyc
Lower Manhattan,$800,roomi nyc
Bushwick,$925,roomi nyc
Midtown,$950,roomi nyc
Long Island City,"$1,600",roomi nyc
Midtown,"$1,450",roomi nyc
Bushwick,"$1,850",roomi nyc
Bedford-Stuyvesant,"$1,350",roomi nyc
Midtown,$800,roomi nyc
Upper Manhattan,"$2,700",roomi nyc
Upper Manhattan,"$1,150",roomi nyc
Kew Gardens,"$1,300",roomi nyc
Prospect Heights,$725,roomi nyc
East Williamsburg,"$1,250",roomi nyc
Kew Gardens,"$1,925",roomi nyc
Prospect Heights,"$1,600",roomi nyc
East Williamsburg,"$1,500",roomi nyc
Long Island City,"$1,450",roomi nyc
Downtown Jersey City,"$1,400",roomi nyc
Bedford-Stuyvesant,"$2,000",roomi nyc
Midtown,"$1,550",roomi nyc
Astoria,"$1,400",roomi nyc
Flushing,"$2,000",roomi nyc
Prospect Heights,"$1,550",roomi nyc
Lower Manhattan,"$1,150",roomi nyc
Flushing,$900,roomi nyc
Upper West Side,"$1,005",roomi nyc
Park Slope,"$1,500",roomi nyc
Kips Bay,"$1,250",roomi nyc
Clinton Hill,$900,roomi nyc
Oakwood,$900,roomi nyc
Bushwick,"$1,450",roomi nyc
Prospect Lefferts Gardens,$950,roomi nyc
Flushing,"$1,100",roomi nyc
Long Island City,"$1,150",roomi nyc
Bushwick,"$1,520",roomi nyc
Upper Manhattan,$895,roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Greenpoint,$938,roomi nyc
Midtown,"$1,649",roomi nyc
Bushwick,$775,roomi nyc
Park Slope,"$1,200",roomi nyc
Prospect Heights,"$1,350",roomi nyc
Upper West Side,"$1,690",roomi nyc
Lower East Side,"$1,600",roomi nyc
Greenpoint,"$1,275",roomi nyc
Midtown,"$1,515",roomi nyc
Astoria,$850,roomi nyc
South Slope,"$1,175",roomi nyc
Bushwick,"$1,300",roomi nyc
East Village,"$1,200",roomi nyc
Williamsburg,"$2,435",roomi nyc
Crown Heights,"$1,200",roomi nyc
Clinton Hill,"$1,500",roomi nyc
Midtown,$870,roomi nyc
Upper East Side,"$1,050",roomi nyc
Chelsea,"$1,225",roomi nyc
Flushing,"$1,200",roomi nyc
Williamsburg,"$1,100",roomi nyc
Dyker Heights,"$1,700",roomi nyc
Crown Heights,"$1,233",roomi nyc
Upper West Side,"$1,125",roomi nyc
Long Island City,"$1,350",roomi nyc
New York,"$1,300",roomi nyc
Lincoln Square,"$1,325",roomi nyc
Lower Manhattan,"$2,250",roomi nyc
Long Island City,"$1,600",roomi nyc
Flatbush - Ditmas Park,"$1,000",roomi nyc
Flatbush - Ditmas Park,"$1,325",roomi nyc
Bushwick,$925,roomi nyc
Roosevelt Island,"$1,200",roomi nyc
Upper West Side,"$1,500",roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Long Island City,$900,roomi nyc
Midtown,"$1,480",roomi nyc
Inwood,"$2,000",roomi nyc
Bedford-Stuyvesant,"$1,150",roomi nyc
Bushwick,$900,roomi nyc
Midtown,"$2,000",roomi nyc
Upper East Side,"$1,250",roomi nyc
Upper Manhattan,$950,roomi nyc
Lower Manhattan,"$1,350",roomi nyc
Bushwick,"$1,650",roomi nyc
Upper Manhattan,"$1,100",roomi nyc
Midtown,"$1,800",roomi nyc
Flatbush - Ditmas Park,"$1,500",roomi nyc
Crown Heights,$950,roomi nyc
Long Island City,$840,roomi nyc
Boerum Hill,$850,roomi nyc
Greenpoint,"$1,100",roomi nyc
Yorkville,"$1,000",roomi nyc
West Bronx,"$1,400",roomi nyc
Williamsburg,"$1,250",roomi nyc
Lower Manhattan,"$1,800",roomi nyc
Williamsburg,"$1,100",roomi nyc
NoHo,"$1,340",roomi nyc
Crown Heights,"$1,950",roomi nyc
Bedford-Stuyvesant,"$1,499",roomi nyc
Bedford-Stuyvesant,$900,roomi nyc
Park Slope,"$1,300",roomi nyc
Constable Hook,"$1,000",roomi nyc
Bedford-Stuyvesant,"$1,825",roomi nyc
Upper West Side,"$1,275",roomi nyc
Bedford-Stuyvesant,"$1,250",roomi nyc
StuyTown,$800,roomi nyc
Midtown,"$1,150",roomi nyc
Flushing,"$2,400",roomi nyc
Yorkville,"$1,300",roomi nyc
Crown Heights,"$1,400",roomi nyc
Greenpoint,"$1,620",roomi nyc
Glen Oaks,$850,roomi nyc
Flatbush - Ditmas Park,"$1,100",roomi nyc
Park Slope,"$1,150",roomi nyc
Upper West Side,$900,roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Williamsburg,"$1,375",roomi nyc
Flushing,"$1,300",roomi nyc
Williamsburg,"$1,700",roomi nyc
Crown Heights,"$1,850",roomi nyc
Woodside,"$1,100",roomi nyc
Williamsburg,"$1,250",roomi nyc
Jamaica,"$1,490",roomi nyc
StuyTown,"$1,300",roomi nyc
Upper Manhattan,"$1,275",roomi nyc
Jamaica,$950,roomi nyc
Prospect Lefferts Gardens,"$1,150",roomi nyc
Midtown,$610,roomi nyc
Hamilton Heights,"$1,300",roomi nyc
Gowanus,"$1,175",roomi nyc
Fleetwood - Concourse Village,"$1,000",roomi nyc
Prospect Heights,$750,roomi nyc
East Williamsburg,"$1,600",roomi nyc
Bedford-Stuyvesant,$950,roomi nyc
Midwood,"$1,100",roomi nyc
Port Morris,"$1,500",roomi nyc
Upper West Side,$400,roomi nyc
Lower Manhattan,"$1,750",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Williamsburg,$900,roomi nyc
Upper Manhattan,$700,roomi nyc
Flatbush - Ditmas Park,"$1,500",roomi nyc
Midtown East,"$1,400",roomi nyc
Ridgewood,$966,roomi nyc
Upper West Side,"$1,335",roomi nyc
Gramercy Park,$775,roomi nyc
Midtown,"$1,379",roomi nyc
Lower Manhattan,"$1,200",roomi nyc
Crown Heights,"$1,400",roomi nyc
Long Island City,$950,roomi nyc
Ridgewood,"$1,700",roomi nyc
Crown Heights,"$1,000",roomi nyc
Hamilton Heights,"$1,000",roomi nyc
Upper Manhattan,"$3,990",roomi nyc
Fort Greene,$975,roomi nyc
Upper Manhattan,"$1,375",roomi nyc
Upper West Side,$900,roomi nyc
Woodside,"$1,200",roomi nyc
Upper Manhattan,"$1,375",roomi nyc
Upper Manhattan,$856,roomi nyc
Upper Manhattan,"$1,175",roomi nyc
Ridgewood,"$1,750",roomi nyc
Upper Manhattan,"$1,750",roomi nyc
Crown Heights,"$1,500",roomi nyc
Columbus,$700,roomi nyc
Bedford-Stuyvesant,$800,roomi nyc
East Williamsburg,"$1,174",roomi nyc
West Bronx,"$1,100",roomi nyc
StuyTown,"$1,550",roomi nyc
Upper East Side,"$1,250",roomi nyc
Upper Manhattan,"$2,000",roomi nyc
Bedford-Stuyvesant,"$1,200",roomi nyc
Bay Ridge,"$1,215",roomi nyc
Bay Ridge,"$1,250",roomi nyc
Bay Ridge,"$1,500",roomi nyc
Williamsburg,"$1,200",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Bushwick,"$1,200",roomi nyc
Upper Manhattan,"$1,150",roomi nyc
Crown Heights,"$1,200",roomi nyc
Manor Heights,$775,roomi nyc
Windsor Terrace,"$1,250",roomi nyc
Crown Heights,$900,roomi nyc
East Bronx,$700,roomi nyc
Prospect Lefferts Gardens,"$1,650",roomi nyc
